method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.001,0.001,32,2,10,False,88.1603 ± 0.2575, 88.1691 ± 0.3609
ognn, 0.001,0.005,32,2,10,False,87.7683 ± 0.2505, 87.7760 ± 0.4016
ognn, 0.001,0.005,32,10,2,False,83.1551 ± 3.5570, 83.1077 ± 3.4224
ognn, 0.001,0.005,32,10,5,False,84.0187 ± 3.6871, 83.9509 ± 3.5854
ognn, 0.001,0.001,32,10,5,False,85.5838 ± 1.2049, 85.5603 ± 1.0591
ognn, 0.001,0.001,32,5,10,False,87.3938 ± 0.2333, 87.4150 ± 0.1240
ognn, 0.001,0.005,32,5,10,False,86.9713 ± 0.5620, 86.9694 ± 0.5776
ognn, 0.001,0.0005,32,5,5,False,87.7968 ± 0.4660, 87.8185 ± 0.5748
ognn, 0.001,0.0005,32,2,2,False,87.7101 ± 0.2913, 87.7379 ± 0.2678
ognn, 0.001,0.0005,32,10,2,False,86.1908 ± 0.8254, 86.2209 ± 0.9030
ognn, 0.001,0.0005,32,2,5,False,87.9925 ± 0.2891, 87.9874 ± 0.3635
ognn, 0.001,0.005,32,10,10,False,85.2933 ± 2.1695, 85.2485 ± 1.9893
ognn, 0.001,0.0005,32,5,2,False,87.3887 ± 0.2382, 87.3687 ± 0.2544
ognn, 0.001,0.0005,32,10,5,False,86.5369 ± 0.7830, 86.5347 ± 0.8668
ognn, 0.001,0.0005,32,5,10,False,87.6898 ± 0.5217, 87.7374 ± 0.6306
ognn, 0.001,0.0005,32,2,10,False,88.0106 ± 0.3821, 88.0172 ± 0.4779
ognn, 0.001,0.001,32,10,10,False,86.5119 ± 0.2777, 86.5029 ± 0.1949
ognn, 0.001,0.0005,32,10,10,False,86.7087 ± 0.6657, 86.7115 ± 0.7678
ognn, 0.001,0.005,256,2,2,False,88.0161 ± 0.1804, 88.0336 ± 0.2378
ognn, 0.001,0.001,256,2,2,False,88.9099 ± 0.0954, 88.9273 ± 0.1883
ognn, 0.001,0.0005,256,2,2,False,89.0661 ± 0.1059, 89.0922 ± 0.1957
ognn, 0.001,0.005,256,5,2,False,87.7560 ± 0.1520, 87.7362 ± 0.2176
ognn, 0.001,0.001,256,5,2,False,88.3606 ± 0.3458, 88.3709 ± 0.3927
ognn, 0.001,0.0005,256,5,2,False,88.5331 ± 0.3183, 88.5375 ± 0.2646
ognn, 0.001,0.0005,256,2,5,False,89.2837 ± 0.0887, 89.3229 ± 0.1705
ognn, 0.001,0.005,256,10,2,False,87.2216 ± 0.5104, 87.1819 ± 0.5332
ognn, 0.001,0.001,256,10,2,False,86.9484 ± 0.5099, 86.9663 ± 0.5353
ognn, 0.001,0.0005,256,5,5,False,88.6550 ± 0.5217, 88.6581 ± 0.4355
ognn, 0.001,0.0005,256,10,2,False,87.2271 ± 0.7344, 87.2030 ± 0.6950
ognn, 0.001,0.0005,256,10,5,False,87.4573 ± 0.4895, 87.4537 ± 0.5465
