method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.001,0.1,1024,2,77.1200 ± 1.8472, 77.0000 ± 1.5083
gcn_strc, 0.001,0.01,1024,5,76.8800 ± 1.9524, 76.9600 ± 0.9762
gcn_strc, 0.0001,0.1,1024,1,76.6800 ± 2.1753, 75.5000 ± 2.3843
gcn_strc, 0.001,0.01,1024,5,76.8000 ± 2.1726, 76.5000 ± 1.2186
gcn_strc, 0.001,0.01,1024,1,77.1200 ± 2.0717, 76.4800 ± 1.6903
gcn_strc, 0.001,0.01,1024,2,76.9600 ± 2.0852, 76.7600 ± 1.2602
gcn_strc, 0.001,0.1,1024,1,76.8000 ± 2.0396, 76.5600 ± 1.5372
gcn_strc, 0.0001,0.01,1024,1,76.0000 ± 2.4166, 74.9600 ± 2.3985
gcn_strc, 0.001,0.01,1024,1,76.8800 ± 2.1615, 76.2400 ± 1.4876
gcn_strc, 0.001,0.01,1024,2,76.8400 ± 2.1927, 76.2600 ± 1.0761
gcn_strc, 0.001,0.1,1024,5,77.1200 ± 1.8472, 77.0800 ± 0.9602
gcn_strc, 0.001,0.1,1024,5,76.7200 ± 2.0717, 76.3200 ± 1.6316
gcn_strc, 0.0001,0.01,1024,1,76.1200 ± 3.3988, 74.5800 ± 3.1172
gcn_strc, 0.0001,0.1,1024,2,76.6800 ± 2.1753, 75.2600 ± 2.0513
gcn_strc, 0.001,0.01,1024,10,76.4000 ± 2.0347, 75.9000 ± 2.0037
gcn_strc, 0.0001,0.01,1024,2,76.2800 ± 1.9728, 75.7600 ± 2.1548
gcn_strc, 0.0001,0.01,1024,2,76.2400 ± 2.2154, 75.3400 ± 2.6406
gcn_strc, 0.0001,0.1,1024,5,76.6800 ± 2.0909, 75.2000 ± 2.2170
gcn_strc, 0.001,0.01,1024,10,76.8400 ± 1.9920, 76.3400 ± 2.1126
gcn_strc, 0.0001,0.1,1024,5,76.4800 ± 2.1799, 75.2800 ± 2.2841
gcn_strc, 0.001,0.1,1024,10,77.1200 ± 1.8472, 77.0000 ± 1.2806
gcn_strc, 0.0001,0.1,1024,10,76.4400 ± 2.2244, 75.5400 ± 1.5469
gcn_strc, 0.0001,0.1,1024,10,76.3600 ± 2.2109, 75.1800 ± 1.9880
gcn_strc, 0.001,0.1,1024,10,76.6800 ± 2.1753, 76.5600 ± 1.6592
gcn_strc, 0.0001,0.01,1024,5,76.2800 ± 1.8740, 75.4800 ± 1.8553
gcn_strc, 0.0001,0.01,1024,5,76.2400 ± 2.4058, 75.3400 ± 2.0268
gcn_strc, 0.0001,0.01,1024,10,75.9600 ± 2.3384, 75.3800 ± 2.1487
gcn_strc, 0.0001,0.01,1024,10,76.2800 ± 2.4722, 75.3000 ± 2.0881
