method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,50.1779 ± 6.6295, 50.2893 ± 6.8323
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,53.4584 ± 0.4342, 53.5966 ± 0.7689
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,51.4577 ± 2.1684, 51.4467 ± 2.0975
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,48.7204 ± 6.1440, 48.9194 ± 6.1754
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,53.6856 ± 0.3970, 53.7279 ± 0.6391
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,50.4334 ± 3.0282, 50.4797 ± 3.1721
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,49.8202 ± 4.1216, 50.0026 ± 4.0128
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,54.1207 ± 0.3071, 54.2013 ± 0.6206
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,51.2266 ± 4.8040, 51.2134 ± 4.9112
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,54.2912 ± 0.1764, 54.3246 ± 0.3119
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,47.5295 ± 5.4349, 47.5962 ± 5.6027
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,47.2380 ± 8.8149, 47.1767 ± 8.8646
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,52.4682 ± 0.6071, 52.3740 ± 0.8817
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,51.4761 ± 1.0227, 51.3178 ± 1.3125
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,48.8815 ± 6.2109, 48.8655 ± 6.3889
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,48.4819 ± 6.2891, 48.4890 ± 6.4618
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,51.8096 ± 1.2043, 51.9427 ± 1.4518
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,53.9955 ± 0.2008, 54.0175 ± 0.4478
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,53.5954 ± 0.1019, 53.6684 ± 0.3196
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,53.0148 ± 1.2239, 52.9792 ± 1.1865
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,45.5666 ± 5.2195, 45.6220 ± 5.3084
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,1,54.4334 ± 0.1410, 54.5296 ± 0.3942
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,51.6041 ± 3.9070, 51.5870 ± 3.6681
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,51.8252 ± 4.8111, 51.7443 ± 5.0790
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,54.2081 ± 0.4664, 54.2084 ± 0.5669
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,53.9251 ± 0.3247, 53.9939 ± 0.4886
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,53.1461 ± 1.1436, 53.2239 ± 1.3809
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,54.0253 ± 0.2444, 54.0983 ± 0.3397
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,47.7591 ± 6.3353, 47.7067 ± 6.5142
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,53.5581 ± 0.8469, 53.5631 ± 0.8244
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,52.3118 ± 1.9955, 52.3263 ± 2.0708
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,54.2823 ± 0.3283, 54.2641 ± 0.4095
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,40.2820 ± 7.0371, 40.3656 ± 7.2947
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,50.8322 ± 0.9647, 50.9214 ± 0.7969
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,49.8732 ± 2.9523, 49.8779 ± 3.0535
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,50.9281 ± 1.6857, 50.9654 ± 1.8335
