method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,83.3598 ± 0.3699, 83.0891 ± 0.3783
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,53.4989 ± 0.7096, 53.3560 ± 0.5519
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,83.3021 ± 0.2850, 82.8501 ± 0.2650
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,55.4571 ± 4.2011, 55.4395 ± 4.4875
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,83.4154 ± 0.2319, 82.9222 ± 0.2649
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,83.1784 ± 0.6364, 82.6069 ± 0.3948
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,53.7050 ± 1.1864, 53.6280 ± 1.0949
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,53.3031 ± 0.4368, 52.9171 ± 0.7148
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,86.0600 ± 0.1999, 85.5992 ± 0.2764
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,53.2742 ± 1.1039, 53.4797 ± 0.8039
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,53.5463 ± 1.6046, 53.7682 ± 0.8433
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,85.7240 ± 0.3555, 85.2962 ± 0.3090
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,53.4598 ± 0.9618, 53.9186 ± 0.7184
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,52.9630 ± 0.3658, 52.9067 ± 0.6818
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,54.0451 ± 1.4271, 53.5044 ± 0.6674
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,53.3423 ± 0.4501, 53.4384 ± 0.6712
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,85.5962 ± 0.3003, 85.1829 ± 0.4143
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,85.6951 ± 0.2738, 85.2859 ± 0.3648
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,83.3412 ± 0.4987, 82.9078 ± 0.3051
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,1,83.4443 ± 0.4654, 83.0335 ± 0.3421
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,83.2361 ± 0.6122, 82.7470 ± 0.4394
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,85.5694 ± 0.4758, 85.2921 ± 0.4657
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,85.7817 ± 0.1715, 85.3519 ± 0.3362
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,85.6890 ± 0.4315, 85.3168 ± 0.4782
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,85.8188 ± 0.2143, 85.3642 ± 0.3986
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,83.1928 ± 0.4061, 82.7470 ± 0.3057
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,53.4948 ± 0.7396, 53.4632 ± 0.9841
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,83.1516 ± 0.6004, 82.8315 ± 0.2663
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,85.8745 ± 0.1502, 85.5353 ± 0.3141
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,85.9281 ± 0.3416, 85.4858 ± 0.2737
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,54.0616 ± 1.0181, 53.9207 ± 1.6255
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,53.2083 ± 0.7335, 53.3498 ± 0.6742
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,53.4020 ± 1.3965, 53.2839 ± 0.6996
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,53.2330 ± 0.7366, 53.1870 ± 0.9132
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,53.5546 ± 1.2353, 53.6280 ± 0.6794
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,53.0228 ± 0.3757, 52.9459 ± 0.5262
