method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,83.2889 ± 2.3696, 83.5637 ± 0.8976
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,81.0222 ± 6.0177, 86.4824 ± 5.3823
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,83.5556 ± 2.3254, 83.5819 ± 0.9124
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,80.6667 ± 3.1309, 81.2512 ± 4.4560
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,69.9556 ± 1.9271, 70.4544 ± 2.4835
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,83.7333 ± 2.0270, 83.2804 ± 1.0267
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,88.4444 ± 0.6285, 88.7243 ± 0.7707
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,90.1333 ± 1.1396, 90.5022 ± 1.2977
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,87.2444 ± 2.1637, 86.8054 ± 1.1053
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,78.0444 ± 3.4904, 77.4600 ± 4.3324
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,88.3111 ± 0.3370, 88.0157 ± 0.8937
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,88.8889 ± 0.7201, 89.0428 ± 0.7814
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,73.8222 ± 3.2524, 70.5352 ± 3.9609
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,85.2000 ± 1.8830, 84.7136 ± 1.0764
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,74.7111 ± 3.2637, 72.2448 ± 3.5504
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,78.4444 ± 1.3966, 75.4308 ± 2.2224
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,71.4667 ± 1.2824, 70.9003 ± 2.1457
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,81.2889 ± 1.5978, 78.9786 ± 2.6187
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,81.7778 ± 7.1302, 84.8649 ± 4.1278
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,85.0222 ± 2.0221, 84.8433 ± 0.6254
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,89.1111 ± 0.8165, 89.2282 ± 0.7684
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,83.1556 ± 2.7370, 83.2736 ± 1.3589
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,1,82.3556 ± 2.4068, 82.3443 ± 0.8751
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,88.9778 ± 0.8833, 89.2282 ± 0.7141
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,88.8000 ± 0.9635, 89.1679 ± 0.7375
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,88.0889 ± 3.0736, 88.7266 ± 2.2097
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,89.5111 ± 0.8225, 89.6548 ± 0.9455
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,78.8889 ± 3.5901, 78.3632 ± 4.4612
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,83.2889 ± 2.3434, 83.6899 ± 0.6564
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,88.5778 ± 0.7470, 88.8529 ± 0.5706
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,83.7778 ± 2.1545, 83.3237 ± 0.7217
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,84.1333 ± 3.2072, 84.9878 ± 3.8141
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,88.2222 ± 0.5666, 88.1158 ± 0.8203
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,88.9778 ± 0.5578, 89.1213 ± 0.8863
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,78.6667 ± 1.5476, 75.5366 ± 1.8024
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,74.5333 ± 3.6264, 69.0428 ± 4.7675
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,75.8222 ± 3.2637, 73.7121 ± 4.6578
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,81.2889 ± 1.4090, 78.9615 ± 2.2579
