method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.0005,128,2,0.0,91.3333 ± 2.6247, 91.1164 ± 3.6159
h2gcn_strc, 0.001,0.0005,128,1,0.0,90.8000 ± 4.8854, 90.9225 ± 4.2194
h2gcn_strc, 0.01,0.0005,128,2,0.5,92.5333 ± 1.7256, 92.0574 ± 0.8642
h2gcn_strc, 0.001,0.0005,64,2,0.0,89.4667 ± 0.8692, 87.4223 ± 2.1055
h2gcn_strc, 0.001,0.0005,64,2,0.5,90.8000 ± 2.0221, 90.5598 ± 0.9781
h2gcn_strc, 0.001,0.0005,128,1,0.5,73.7333 ± 3.6999, 72.7086 ± 7.2050
h2gcn_strc, 0.001,0.0005,64,2,0.5,89.3333 ± 0.4714, 86.9924 ± 2.4185
h2gcn_strc, 0.001,0.0005,128,1,0.5,92.0000 ± 3.8006, 90.6924 ± 4.2444
h2gcn_strc, 0.001,0.001,128,2,0.0,89.2000 ± 3.4124, 88.6196 ± 4.7552
h2gcn_strc, 0.001,0.001,128,2,0.0,90.0000 ± 1.5635, 87.8959 ± 1.4622
h2gcn_strc, 0.001,0.001,128,2,0.5,90.2667 ± 1.6055, 87.7499 ± 1.1107
h2gcn_strc, 0.001,0.001,128,2,0.5,90.4000 ± 3.1127, 88.8859 ± 4.1676
h2gcn_strc, 0.001,0.0005,128,2,0.0,89.8667 ± 1.4453, 88.1173 ± 1.7389
h2gcn_strc, 0.001,0.0005,128,2,0.0,89.4667 ± 2.9212, 88.2978 ± 4.0811
h2gcn_strc, 0.001,0.0005,128,2,0.5,91.2000 ± 2.5991, 90.6439 ± 1.4388
h2gcn_strc, 0.001,0.0005,128,2,0.5,90.1333 ± 2.0763, 87.6296 ± 1.3200
h2gcn_strc, 0.01,0.0005,32,1,0.0,92.8000 ± 2.0763, 92.7793 ± 0.2220
h2gcn_strc, 0.01,0.0005,32,1,0.0,73.4667 ± 9.8138, 69.9968 ± 12.6201
h2gcn_strc, 0.01,0.0005,32,1,0.5,92.9333 ± 1.6055, 92.2051 ± 0.5358
h2gcn_strc, 0.01,0.0005,32,1,0.5,74.0000 ± 11.3725, 70.2181 ± 12.3834
h2gcn_strc, 0.01,0.001,32,1,0.0,93.0667 ± 1.6733, 92.7325 ± 0.3378
h2gcn_strc, 0.01,0.001,32,1,0.0,76.4000 ± 12.2166, 75.8835 ± 13.0567
h2gcn_strc, 0.01,0.001,32,1,0.5,93.3333 ± 1.2472, 92.2244 ± 0.6565
h2gcn_strc, 0.01,0.001,32,1,0.5,72.2667 ± 11.6390, 74.5127 ± 10.0528
h2gcn_strc, 0.01,0.001,64,1,0.0,78.1333 ± 10.5977, 76.1896 ± 13.7798
h2gcn_strc, 0.01,0.001,64,1,0.0,93.0667 ± 1.5348, 92.6753 ± 0.4632
h2gcn_strc, 0.01,0.0005,64,1,0.0,74.8000 ± 8.9740, 71.8769 ± 11.8773
h2gcn_strc, 0.01,0.001,64,1,0.5,75.4667 ± 9.0111, 69.9693 ± 12.0837
h2gcn_strc, 0.01,0.001,64,1,0.5,93.4667 ± 1.2824, 91.8675 ± 0.9818
h2gcn_strc, 0.01,0.0005,32,2,0.0,89.2000 ± 2.6415, 88.9075 ± 3.6148
h2gcn_strc, 0.01,0.0005,32,2,0.0,90.2667 ± 2.7729, 88.8596 ± 3.6428
h2gcn_strc, 0.01,0.001,32,2,0.0,88.1333 ± 3.6636, 87.9362 ± 2.8212
h2gcn_strc, 0.01,0.001,32,2,0.5,91.0667 ± 2.0331, 89.8379 ± 2.0134
h2gcn_strc, 0.01,0.0005,32,2,0.5,92.2667 ± 0.5963, 89.2229 ± 2.8496
h2gcn_strc, 0.01,0.001,32,2,0.5,91.8667 ± 0.8692, 89.0162 ± 3.0365
h2gcn_strc, 0.01,0.0005,32,2,0.5,91.3333 ± 1.6997, 88.9490 ± 1.5650
h2gcn_strc, 0.01,0.001,32,2,0.0,90.4000 ± 2.7325, 87.4964 ± 3.8814
h2gcn_strc, 0.01,0.0005,64,1,0.0,92.9333 ± 1.8619, 92.6770 ± 0.4677
h2gcn_strc, 0.01,0.0005,64,1,0.5,93.0667 ± 1.6733, 91.5924 ± 1.3649
h2gcn_strc, 0.01,0.0005,64,1,0.5,76.2667 ± 9.6793, 70.2281 ± 11.1422
h2gcn_strc, 0.01,0.001,128,1,0.5,93.6000 ± 1.5348, 92.4662 ± 0.4709
h2gcn_strc, 0.01,0.001,128,1,0.0,77.2000 ± 7.3394, 73.5800 ± 10.0641
h2gcn_strc, 0.01,0.001,128,1,0.0,92.9333 ± 1.5348, 92.6327 ± 0.2877
h2gcn_strc, 0.01,0.001,128,1,0.5,76.8000 ± 9.1457, 71.1924 ± 11.3062
h2gcn_strc, 0.001,0.001,32,1,0.0,92.6667 ± 1.5635, 92.5935 ± 0.4061
h2gcn_strc, 0.001,0.001,32,1,0.0,65.4667 ± 15.0436, 67.6547 ± 15.1826
h2gcn_strc, 0.001,0.001,32,1,0.5,68.8000 ± 16.1273, 67.3644 ± 17.0297
h2gcn_strc, 0.001,0.001,32,1,0.5,92.5333 ± 1.5916, 92.3488 ± 0.5192
h2gcn_strc, 0.01,0.001,64,2,0.0,90.5333 ± 2.1292, 90.0529 ± 3.9408
h2gcn_strc, 0.01,0.001,64,2,0.0,88.5333 ± 3.0332, 87.4439 ± 3.2504
h2gcn_strc, 0.01,0.001,64,2,0.5,92.4000 ± 0.7601, 91.2940 ± 1.4097
h2gcn_strc, 0.01,0.001,64,2,0.5,91.6000 ± 1.6733, 89.6078 ± 1.4975
h2gcn_strc, 0.01,0.0005,128,1,0.0,80.5333 ± 8.4248, 76.4986 ± 12.6816
h2gcn_strc, 0.001,0.001,64,1,0.0,67.2000 ± 10.4073, 69.6201 ± 14.0635
h2gcn_strc, 0.01,0.0005,128,1,0.0,92.8000 ± 1.9090, 92.0030 ± 1.9865
h2gcn_strc, 0.001,0.001,64,1,0.0,87.8667 ± 7.3545, 86.8873 ± 8.9374
h2gcn_strc, 0.001,0.001,64,1,0.5,93.0667 ± 2.0331, 92.6262 ± 0.6012
h2gcn_strc, 0.001,0.001,64,1,0.5,71.7333 ± 12.8979, 70.0657 ± 13.1172
h2gcn_strc, 0.01,0.0005,128,1,0.5,77.7333 ± 8.9889, 70.7718 ± 10.5891
h2gcn_strc, 0.01,0.0005,128,1,0.5,93.7333 ± 1.0110, 91.8261 ± 0.9123
h2gcn_strc, 0.001,0.001,32,2,0.0,90.0000 ± 1.5635, 90.1621 ± 0.9426
h2gcn_strc, 0.001,0.001,32,2,0.0,88.8000 ± 0.7303, 86.4877 ± 1.3312
h2gcn_strc, 0.01,0.0005,64,2,0.0,88.8000 ± 2.8829, 87.2412 ± 3.1500
h2gcn_strc, 0.01,0.0005,64,2,0.0,90.4000 ± 2.1909, 90.2433 ± 3.8494
h2gcn_strc, 0.01,0.0005,64,2,0.5,91.8667 ± 1.4453, 91.7022 ± 1.1531
h2gcn_strc, 0.01,0.0005,64,2,0.5,91.8667 ± 2.0221, 89.5523 ± 1.3609
h2gcn_strc, 0.001,0.001,32,2,0.5,89.3333 ± 1.0541, 85.3932 ± 4.4268
h2gcn_strc, 0.001,0.001,32,2,0.5,91.3333 ± 1.8257, 90.3793 ± 1.1557
h2gcn_strc, 0.001,0.0005,32,1,0.0,61.8667 ± 4.2269, 60.4667 ± 3.4111
h2gcn_strc, 0.001,0.0005,32,1,0.0,89.3333 ± 7.3333, 90.4185 ± 4.9151
h2gcn_strc, 0.001,0.0005,32,1,0.5,63.2000 ± 5.0640, 60.0561 ± 8.0859
h2gcn_strc, 0.001,0.0005,32,1,0.5,92.4000 ± 1.3824, 92.2110 ± 0.8420
h2gcn_strc, 0.001,0.001,128,1,0.0,72.9333 ± 7.0648, 73.2535 ± 11.2452
h2gcn_strc, 0.001,0.001,128,1,0.0,86.5333 ± 8.2919, 86.7757 ± 8.1120
h2gcn_strc, 0.001,0.0005,64,1,0.0,72.2667 ± 10.5050, 72.5877 ± 11.5230
h2gcn_strc, 0.001,0.0005,64,1,0.0,92.8000 ± 2.2803, 92.8441 ± 0.4582
h2gcn_strc, 0.001,0.001,64,2,0.0,90.9333 ± 2.1909, 90.4781 ± 1.1089
h2gcn_strc, 0.001,0.001,128,1,0.5,75.2000 ± 10.0377, 70.8559 ± 12.4818
h2gcn_strc, 0.001,0.001,128,1,0.5,87.3333 ± 8.8569, 87.8492 ± 6.6313
h2gcn_strc, 0.001,0.0005,64,1,0.5,76.8000 ± 10.4286, 74.7908 ± 12.9336
h2gcn_strc, 0.001,0.0005,64,1,0.5,91.7333 ± 3.8181, 91.3571 ± 3.0365
h2gcn_strc, 0.01,0.001,128,2,0.0,85.6000 ± 3.6086, 82.2352 ± 1.3299
h2gcn_strc, 0.01,0.001,128,2,0.5,87.6000 ± 4.0716, 84.1480 ± 6.8503
h2gcn_strc, 0.01,0.001,128,2,0.0,90.9333 ± 2.3851, 90.7315 ± 3.3630
h2gcn_strc, 0.01,0.001,128,2,0.5,92.5333 ± 1.4453, 92.2098 ± 0.5043
h2gcn_strc, 0.001,0.0005,32,2,0.0,89.7333 ± 1.5348, 89.6352 ± 1.1616
h2gcn_strc, 0.001,0.0005,32,2,0.0,88.8000 ± 0.7303, 86.6367 ± 1.3935
h2gcn_strc, 0.001,0.0005,32,2,0.5,90.8000 ± 1.5916, 89.7147 ± 1.4919
h2gcn_strc, 0.001,0.0005,32,2,0.5,89.4667 ± 1.4453, 84.4885 ± 3.1721
h2gcn_strc, 0.001,0.001,64,2,0.0,89.6000 ± 0.7601, 87.4182 ± 1.5970
h2gcn_strc, 0.001,0.001,64,2,0.5,89.8667 ± 1.0954, 87.5642 ± 1.6655
h2gcn_strc, 0.001,0.001,64,2,0.5,90.8000 ± 2.2804, 90.6679 ± 0.9371
h2gcn_strc, 0.01,0.0005,128,2,0.0,86.4000 ± 3.6086, 82.9559 ± 2.4449
h2gcn_strc, 0.001,0.0005,128,1,0.0,74.6667 ± 5.0552, 74.1092 ± 8.5979
