method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.001,0.0005,32,1,0.5,71.6800 ± 2.7590, 72.2600 ± 1.9578
h2gcn_strc, 0.001,0.0005,32,2,0.0,74.5200 ± 2.3478, 72.7800 ± 4.4353
h2gcn_strc, 0.001,0.0005,32,2,0.0,71.8000 ± 1.2083, 70.4600 ± 3.3694
h2gcn_strc, 0.001,0.0005,32,2,0.5,76.9600 ± 2.1420, 76.3800 ± 3.2136
h2gcn_strc, 0.001,0.0005,32,2,0.5,73.8800 ± 1.8089, 73.1600 ± 2.9762
h2gcn_strc, 0.001,0.0005,64,1,0.0,69.2000 ± 5.9950, 68.7600 ± 7.7574
h2gcn_strc, 0.001,0.0005,64,1,0.0,73.3200 ± 2.8411, 74.3800 ± 1.5353
h2gcn_strc, 0.001,0.0005,64,1,0.5,70.5200 ± 7.7144, 68.7800 ± 8.6837
h2gcn_strc, 0.001,0.0005,64,1,0.5,72.1200 ± 3.6949, 73.7600 ± 1.9230
h2gcn_strc, 0.001,0.0005,64,2,0.0,75.3600 ± 2.2733, 74.7000 ± 3.9944
h2gcn_strc, 0.001,0.0005,64,2,0.0,73.4000 ± 1.6852, 72.0200 ± 3.1300
h2gcn_strc, 0.001,0.0005,64,2,0.5,76.9200 ± 1.7978, 75.4000 ± 3.7756
h2gcn_strc, 0.001,0.0005,64,2,0.5,74.7200 ± 2.1005, 72.5400 ± 2.9348
h2gcn_strc, 0.001,0.0005,128,1,0.0,69.6400 ± 4.5506, 69.8600 ± 4.8060
h2gcn_strc, 0.001,0.0005,128,1,0.0,73.7600 ± 3.1318, 74.5800 ± 1.8674
h2gcn_strc, 0.001,0.0005,128,1,0.5,70.7200 ± 6.0027, 69.7200 ± 7.4456
h2gcn_strc, 0.001,0.0005,128,1,0.5,73.6800 ± 3.4223, 74.3600 ± 1.7672
h2gcn_strc, 0.001,0.0005,128,2,0.0,76.2400 ± 3.1254, 75.8000 ± 3.8295
h2gcn_strc, 0.001,0.0005,128,2,0.0,74.4800 ± 1.4043, 74.2200 ± 1.5739
h2gcn_strc, 0.001,0.0005,128,2,0.5,76.9200 ± 2.8199, 76.3000 ± 3.5178
h2gcn_strc, 0.001,0.0005,128,2,0.5,74.5600 ± 2.0900, 73.2200 ± 2.6148
